since release of Allies,,,"games with strong players (mu>1.8 for one, or mu>1.3 for both)",,,,,,,,,,,,,,,,,,,,,,,,,all players,,,,,,,,,,,,,,,,,,,,,,,,,card classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,kingdom card,expansion,games,banned,Province ending,3-pile ending,resignation,turns,w/o resignation,Province ending,3-pile ending,resignation,VP winner,w/o resignation,VP loser,w/o resignation,decisions (per player),time (minutes),empty pile,in deck,in deck %,winner in deck,winner in deck %,loser in deck,loser in deck %,skill multiplier,first player win rate,games,banned,Province ending,3-pile ending,resignation,turns,Province ending,3-pile ending,resignation,w/o resignation,VP winner,w/o resignation,VP loser,w/o resignation,decisions (per player),time (minutes),empty pile,in deck,in deck %,winner in deck,winner in deck %,loser in deck,loser in deck %,skill multiplier,first player win rate,cost,Thunderdominion 2023,landscape,Event,Landmark,Project,Way,Ally,Trait,village,draw,terminal draw,draw-to-x,nonterminal draw,trashing,thinning,trashing multiple cards,trashing curses,trashing treasures,trashing victory cards,trashing actions,trash for benefit,additional gains,+buy,alt VP,VP tokens,attack,handsize attack,junking attack,trashing attack,colonies,shelters,potion,duration,night,villagers,coffers,on buy/gain/trash effect,cantrip,throne rooms,cost reduction,disappearing money,sifter,exiler,horses,loot
First Mate,First Mate,Plunder,"2,303",0%,28%,26%,46%,13.7,14.9,15.6,14.1,12.3,23,31,14,20,118,12,5%,1.3,51%,1.3,52%,1.2,50%,0.89,57%,"91,926",0%,53%,15%,32%,16.7,17.9,18.0,17.8,14.0,32,38,21,26,112,11,1%,0.6,32%,0.6,33%,0.6,32%,0.89,56%,5,4,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flagship,Flagship,Plunder,"2,247",0%,30%,21%,49%,13.4,14.7,15.1,14.1,12.0,25,34,16,21,109,11,9%,1.8,72%,1.9,72%,1.8,71%,1.04,59%,"74,150",0%,54%,13%,33%,16.2,17.5,17.5,17.5,13.6,32,39,21,26,108,11,4%,1.4,68%,1.4,69%,1.4,68%,0.90,56%,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fortune Hunter,Fortune Hunter,Plunder,"2,345",0%,32%,21%,48%,13.8,15.2,15.7,14.4,12.4,25,33,16,22,115,11,1%,0.5,31%,0.5,31%,0.5,31%,0.91,58%,"103,097",0%,57%,13%,31%,16.7,17.8,17.8,18.0,14.0,32,38,22,26,109,11,0%,0.6,38%,0.6,38%,0.6,38%,0.85,56%,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frigate,Frigate,Plunder,"2,077",14%,35%,19%,46%,15.2,16.8,17.3,15.8,13.2,26,35,17,24,118,12,3%,1.3,61%,1.3,61%,1.3,61%,0.96,56%,"87,134",1%,55%,13%,31%,17.2,18.5,18.5,18.7,14.3,33,39,22,27,111,11,1%,0.8,52%,0.9,53%,0.8,52%,0.83,56%,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gondola,Gondola,Plunder,"2,362",0%,32%,24%,44%,13.9,15.1,15.7,14.3,12.4,25,33,16,22,117,12,5%,1.0,44%,1.0,45%,0.9,44%,1.02,59%,"92,298",0%,55%,14%,31%,16.6,17.8,17.8,17.7,13.8,32,38,22,27,112,11,3%,0.9,47%,0.9,47%,0.9,46%,0.89,56%,4,18,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Grotto,Grotto,Plunder,"2,255",0%,31%,21%,48%,13.5,14.7,15.3,14.0,12.1,25,34,16,21,117,12,5%,1.5,70%,1.6,70%,1.5,69%,1.03,58%,"97,004",0%,54%,13%,32%,16.5,17.7,17.8,17.6,13.8,32,38,21,26,111,11,2%,1.0,52%,1.0,52%,1.0,52%,0.96,56%,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Harbor Village,Harbor Village,Plunder,"2,316",0%,28%,24%,48%,13.6,14.8,15.4,14.0,12.3,23,31,14,20,118,12,20%,2.2,68%,2.2,69%,2.1,68%,0.96,58%,"76,609",0%,50%,16%,34%,16.4,17.8,17.9,17.4,13.9,31,38,21,26,115,11,15%,2.1,71%,2.1,71%,2.0,70%,0.98,56%,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewelled Egg,Jewelled Egg,Plunder,"2,213",0%,25%,29%,46%,13.4,14.6,15.3,14.0,12.0,23,31,14,19,112,11,34%,0.9,45%,0.9,45%,0.9,46%,1.14,61%,"73,713",0%,43%,25%,32%,16.3,17.5,17.8,16.9,13.7,31,36,19,24,112,11,57%,1.3,57%,1.3,57%,1.3,57%,1.03,56%,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
King's Cache,King's Cache,Plunder,"2,366",0%,31%,22%,47%,13.7,15.0,15.5,14.2,12.4,25,34,15,21,113,11,1%,0.9,50%,0.9,51%,0.9,49%,0.94,58%,"96,167",0%,56%,12%,32%,16.4,17.6,17.7,17.5,13.8,32,38,21,26,108,11,1%,1.1,64%,1.1,65%,1.1,63%,0.88,56%,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Landing Party,Landing Party,Plunder,"2,256",0%,30%,25%,44%,13.6,14.7,15.3,14.1,12.2,24,31,15,20,114,12,21%,2.0,63%,2.1,65%,1.9,62%,0.95,57%,"74,008",0%,53%,15%,32%,16.2,17.3,17.5,17.0,13.7,32,38,21,26,111,11,15%,2.0,68%,2.1,69%,2.0,68%,0.88,57%,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Longship,Longship,Plunder,"2,296",0%,26%,26%,48%,13.8,14.9,15.4,14.4,12.6,23,32,15,20,118,12,18%,2.1,66%,2.2,67%,2.0,65%,1.02,60%,"97,193",0%,54%,14%,32%,16.7,17.8,17.9,17.5,14.1,32,38,21,26,113,11,11%,1.9,70%,2.0,70%,1.8,69%,0.91,56%,5,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mapmaker,Mapmaker,Plunder,"2,248",0%,30%,24%,46%,13.6,14.8,15.4,14.1,12.3,24,32,15,21,119,12,10%,1.4,53%,1.4,52%,1.4,53%,0.96,59%,"74,171",0%,52%,14%,34%,16.1,17.4,17.5,17.2,13.6,32,38,21,26,114,11,4%,1.0,47%,1.0,47%,1.0,47%,0.92,56%,4,12,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maroon,Maroon,Plunder,"2,367",0%,32%,23%,45%,13.5,14.7,15.2,14.0,12.1,25,33,15,21,116,12,1%,0.9,61%,0.9,61%,0.9,61%,1.01,58%,"89,650",0%,55%,13%,32%,16.3,17.5,17.5,17.4,13.7,32,38,21,26,110,11,1%,0.7,52%,0.7,53%,0.7,52%,0.91,56%,4,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mining Road,Mining Road,Plunder,"2,325",0%,30%,25%,45%,13.8,15.0,15.5,14.3,12.3,24,32,15,21,116,12,4%,1.3,65%,1.3,65%,1.3,65%,0.99,59%,"76,766",0%,52%,16%,32%,16.6,17.9,17.9,17.7,13.8,32,39,21,26,114,11,3%,1.3,63%,1.3,64%,1.2,63%,0.93,56%,5,20,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
